Time:,xForce (N),xAccel (m/s),xVel (m/s),xPos (m)
0.000000,500.000000,2.500000,0.000000,0.000000
0.500000,500.000000,2.500000,1.250000,0.312500
1.000000,500.000000,2.500000,2.500000,1.250000
1.500000,500.000000,2.500000,3.750000,2.812500
2.000000,500.000000,2.500000,5.000000,5.000000
2.500000,500.000000,2.500000,6.250000,7.812500
3.000000,500.000000,2.500000,7.500000,11.250000
3.500000,500.000000,2.500000,8.750000,15.312500
4.000000,500.000000,2.500000,10.000000,20.000000
4.500000,500.000000,2.500000,11.250000,25.312500
5.000000,500.000000,2.500000,12.500000,31.250000
5.500000,0.000000,0.000000,12.500000,37.500000
6.000000,0.000000,0.000000,12.500000,43.750000
6.500000,0.000000,0.000000,12.500000,50.000000
7.000000,0.000000,0.000000,12.500000,56.250000
7.500000,0.000000,0.000000,12.500000,62.500000
8.000000,0.000000,0.000000,12.500000,68.750000
8.500000,0.000000,0.000000,12.500000,75.000000
9.000000,0.000000,0.000000,12.500000,81.250000
9.500000,0.000000,0.000000,12.500000,87.500000
10.000000,-625.000000,-3.125000,10.937500,93.359375
10.500000,-625.000000,-3.125000,9.375000,98.437500
11.000000,-625.000000,-3.125000,7.812500,102.734375
11.500000,-625.000000,-3.125000,6.250000,106.250000
12.000000,-625.000000,-3.125000,4.687500,108.984375
12.500000,-625.000000,-3.125000,3.125000,110.937500
13.000000,-625.000000,-3.125000,1.562500,112.109375
13.500000,-625.000000,-3.125000,0.000000,112.500000
14.000000,0.000000,0.000000,0.000000,112.500000
14.500000,0.000000,0.000000,0.000000,112.500000
15.000000,0.000000,0.000000,0.000000,112.500000
