Time,Body 0 x Pos (m), Body 0 y Pos (m),Body 1 x Pos (m), Body 1 y Pos (m)
0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.075000,0.000000,0.037500,0.000000
0.200000,0.300000,0.000000,0.150000,0.000000
0.300000,0.675000,0.000000,0.337500,0.000000
0.400000,1.200000,0.000000,0.600000,0.000000
0.500000,1.875000,0.000000,0.937500,0.000000
0.600000,2.700000,0.000000,1.350000,0.000000
0.700000,3.675000,0.000000,1.837500,0.000000
0.800000,4.800000,0.000000,2.400000,0.000000
0.900000,6.075000,0.000000,3.037500,0.000000
1.000000,7.500000,0.000000,3.750000,0.000000
1.100000,9.075001,0.000000,4.537500,0.000000
1.200000,10.800001,0.461894,5.400001,0.000000
1.300000,12.380064,1.374171,6.337501,0.000000
1.400000,14.002563,2.310948,7.350000,0.000000
1.500000,15.667497,3.272198,8.437500,0.000000
1.600000,17.353649,4.196698,9.600000,0.000000
1.700000,19.039801,5.023198,10.837501,0.483545
1.800000,20.725952,5.751698,11.975151,1.140388
1.900000,22.412104,6.382198,13.179736,1.835875
2.000000,24.098255,6.914698,14.451257,2.428537
2.100000,25.784407,7.349197,15.756245,2.963232
2.200000,27.470558,7.685698,17.061234,3.399926
2.300000,29.156710,7.924198,18.366222,3.738620
2.400000,30.842861,8.064697,19.671211,3.979315
2.500000,32.529015,8.107197,20.976200,4.122009
2.600000,34.215164,8.051697,22.281189,4.166703
2.700000,35.901314,7.898197,23.586178,4.113398
2.799999,37.587463,7.646697,24.891167,3.962092
2.899999,39.273613,7.297196,26.196156,3.712786
2.999999,40.959763,6.849696,27.501144,3.365480
3.099999,42.645912,6.304196,28.806133,2.920175
3.199999,44.332062,5.660696,30.111122,2.376869
3.299999,46.018211,4.919195,31.416111,1.735563
3.399999,47.704361,4.079695,32.721100,0.996258
3.499999,49.390511,3.142195,34.026089,0.158952
3.599999,51.076660,2.106695,35.331078,0.000000
3.699999,52.762810,0.973194,36.636066,0.000000
3.799999,54.448959,0.000000,37.941055,0.000000
3.899998,56.135109,0.000000,39.246044,0.000000
3.999998,57.821259,0.000000,40.551033,0.000000
